code,count,number,lat,lon,name,city
ABE,0.3513520567670247,981,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.36131395475647654,781,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.17647910820408155,11578,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.3913490771946739,178,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.3846247960517939,313,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.3928931713830389,147,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.37416480316286943,523,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.34054339744846945,1198,40.9698,-124.108,Arcata Airport,Mckinleyville
ADK,0.3985216437470792,34,51.88,-176.639,Adak Airport,Adak
ADQ,0.3930425998528807,144,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.33670806672253045,1275,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.3456239654230899,1096,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.39906954813649903,23,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.21004253378665022,3818,42.7426,-73.809,Albany International Airport,Latham
ALO,0.38895822167720545,226,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.2562657404577068,2890,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.14045867633032905,5215,61.1767,-149.961,Anchorage International Airport,Anchorage
APN,0.3929429808729862,146,45.07,-83.5683,Alpena County Regional Airport,Alpena
ART,0.39030307790578145,199,43.9942,-76.0232,Watertown International Airport,Dexter
ASE,0.3100101801107995,1811,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,7.1365583764944045,151312,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.3189260788113589,1632,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.5411841935979138,18900,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.3216157912685109,1578,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.36863594977872366,634,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZA,0.39896992915660456,25,33.3078,-111.656,Phoenix-Mesa Gateway Airport,Phoenix
AZO,0.3727203279543989,552,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.022517974777103215,8487,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.3864179376898952,277,60.7788,-161.847,Bethel Airport,Bethel
BFL,0.341041492347942,1188,35.4288,-119.044,Kern County-Meadows Field Airport,Bakersfield
BGM,0.38990460198620336,207,42.2082,-75.9825,Greater Binghamton Edwin A Link Field Airport,Johnson City
BGR,0.38950612606662527,215,44.8086,-68.8167,Bangor International Airport,Bangor
BHM,0.06943034366553735,6641,33.5604,-86.7492,Birmingham International Airport,Birmingham
BIL,0.36385423874378675,730,45.8034,-108.537,Logan International Airport,Billings
BIS,0.3431833004156742,1145,46.7745,-100.757,Bismarck Municipal Airport,Bismarck
BJI,0.3915483151544629,174,47.5065,-94.9338,Bemidji-Beltrami County Airport,Bemidji
BLI,0.3870654610592096,264,48.7955,-122.532,Bellingham International Airport,Bellingham
BMI,0.33909892223999893,1227,40.4841,-88.9134,Bloomington Normal Airport,Bloomington
BNA,0.8646470213154154,25394,36.1342,-86.6682,Nashville International Airport,Nashville
BOI,0.2294682348660813,3428,43.5709,-116.222,Boise Air Terminal,Boise
BOS,1.7744671646920527,43660,42.3717,-71.0281,Gen E L Logan International Airport,Boston
BPT,0.3827818449237453,350,29.9551,-94.0185,Jefferson County Airport,Beaumont
BQK,0.3810385127755912,385,31.2525,-81.4703,Glynco Jetport Airport,Brunswick
BRD,0.3893566975967835,218,46.3909,-94.1413,Brainerd-Crow Wing County Regional Airport,Brainerd
BRO,0.3636051912940505,735,25.9064,-97.4321,Brownsville-South Padre Island International Air,Brownsville
BRW,0.38004232297664603,405,71.2892,-156.772,Wiley Post Will Rogers Memorial Airport,Barrow
