code,count,number,lat,lon,name,city
ABE,0.349771286456084,696,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.3600086522751262,513,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.1893966466801386,10334,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.3824413500534646,112,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.37102920455027,316,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.3818259892665276,123,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.36817616817447135,367,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.29198331437373104,1729,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.38865089981255574,1,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.3860775728853648,47,51.88,-176.639,Adak Airport,Adak
ADQ,0.3783016502140705,186,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.3339397316648876,979,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.3238142496252885,1160,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.3868607593414664,33,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.21702118214686464,3069,42.7426,-73.809,Albany International Airport,Latham
ALO,0.3833923621787308,95,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.2730749556478498,2067,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.11626983875836736,4870,61.1767,-149.961,Anchorage International Airport,Anchorage
APN,0.3864691661134156,40,45.07,-83.5683,Alpena County Regional Airport,Alpena
ART,0.3826651176123507,108,43.9942,-76.0232,Watertown International Airport,Dexter
ASE,0.31368876758568937,1341,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,6.589652307832047,124743,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.3388626179603833,891,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.4588687294688068,15151,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.3125699297912585,1361,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.3699663086455607,335,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZA,0.3875880039078464,20,33.3078,-111.656,Phoenix-Mesa Gateway Airport,Phoenix
AZO,0.38053932580293215,146,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.03839872826598077,6262,41.9271,-72.6816,Bradley International Airport,Windsor Locks
