code,count,number,lat,lon,name,city
ABE,0.35158474989927485,1227,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.3759496639232017,750,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.14848340166098456,11017,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABY,0.3953598679674202,370,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.40680167245664367,146,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.3980160011524185,318,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.3584804802834051,1092,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.4023577573202042,233,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.41236933624827476,37,51.88,-176.639,Adak Airport,Adak
ADQ,0.40097861124337814,260,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.35934883151696223,1075,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.3301824459663077,1646,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.4115009850147176,54,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.20973702192349955,4004,42.7426,-73.809,Albany International Airport,Latham
ALO,0.41109234914010245,62,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.30847366512737917,2071,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.09164125415972837,6316,61.1767,-149.961,Anchorage International Airport,Anchorage
ASE,0.32425722578438837,1762,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,9.363069135779076,191414,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.339376753145148,1466,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.3051441800915582,14084,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.30745207544084135,2091,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.3803935790596412,663,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZO,0.38131300977752525,645,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.0068493101770899,7976,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.3958195833263622,361,60.7788,-161.847,Bethel Airport,Bethel
BFL,0.3704841591002244,857,35.4288,-119.044,Kern County-Meadows Field Airport,Bakersfield
BGM,0.4082829775021235,117,42.2082,-75.9825,Greater Binghamton Edwin A Link Field Airport,Johnson City
BGR,0.36149416985869165,1033,44.8086,-68.8167,Bangor International Airport,Bangor
BHM,0.0024053950406504134,8063,33.5604,-86.7492,Birmingham International Airport,Birmingham
BIL,0.3545473599902345,1169,45.8034,-108.537,Logan International Airport,Billings
BIS,0.3751323921739715,766,46.7745,-100.757,Bismarck Municipal Airport,Bismarck
BJI,0.41333984645048566,18,47.5065,-94.9338,Bemidji-Beltrami County Airport,Bemidji
BLI,0.41277797212288986,29,48.7955,-122.532,Bellingham International Airport,Bellingham
BMI,0.32716875639102116,1705,40.4841,-88.9134,Bloomington Normal Airport,Bloomington
BNA,0.6189765317959742,20228,36.1342,-86.6682,Nashville International Airport,Nashville
BOI,0.21836945477474407,3835,43.5709,-116.222,Boise Air Terminal,Boise
BOS,1.5053077438361808,37580,42.3717,-71.0281,Gen E L Logan International Airport,Boston
BQK,0.3970454909502075,337,31.2525,-81.4703,Glynco Jetport Airport,Brunswick
BRO,0.38662527614752185,541,25.9064,-97.4321,Brownsville-South Padre Island International Air,Brownsville
BRW,0.3946958346711706,383,71.2892,-156.772,Wiley Post Will Rogers Memorial Airport,Barrow
BTM,0.4055757648327983,170,45.9544,-112.503,Bert Mooney Airport,Butte
BTR,0.24850635052760955,3245,30.533,-91.1567,Baton Rouge Metropolitan Airport,Baton Rouge
