code,count,number,lat,lon,name,city
ABE,0.35343103906064305,695,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.392952596684377,78,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.03435422812588095,6749,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.38417714547781046,215,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.3821914594383684,246,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.3835366015941195,225,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.3730316819015873,389,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.3679713852204285,468,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.3101943269115014,1370,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.39551477221914094,38,51.88,-176.639,Adak Airport,Adak
ADQ,0.39064663870308947,114,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.3498439933119735,751,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.35477618121639415,674,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.39679585998652295,18,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.2356350188498704,2534,42.7426,-73.809,Albany International Airport,Latham
AMA,0.35253427762347567,709,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.1313544745849776,4162,61.1767,-149.961,Anchorage International Airport,Anchorage
APN,0.38558634202193065,193,45.07,-83.5683,Alpena County Regional Airport,Alpena
ASE,0.2983442650632181,1555,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,7.436415293670566,122308,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.34817857921437695,777,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.6264729942098302,15993,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.3349833752103426,983,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.36829165716227397,463,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZO,0.36893220104596497,453,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.026625549601501087,5797,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.3876360824497418,161,60.7788,-161.847,Bethel Airport,Bethel
BFL,0.3628470341509006,548,35.4288,-119.044,Kern County-Meadows Field Airport,Bakersfield
BGM,0.3834725472057504,226,42.2082,-75.9825,Greater Binghamton Edwin A Link Field Airport,Johnson City
BGR,0.3868033754009435,174,44.8086,-68.8167,Bangor International Airport,Bangor
BHM,0.1777939061525742,3437,33.5604,-86.7492,Birmingham International Airport,Birmingham
BIL,0.36156594638351863,568,45.8034,-108.537,Logan International Airport,Billings
BIS,0.36387190436480615,532,46.7745,-100.757,Bismarck Municipal Airport,Bismarck
BJI,0.3844333630312869,211,47.5065,-94.9338,Bemidji-Beltrami County Airport,Bemidji
BLI,0.389045278993862,139,48.7955,-122.532,Bellingham International Airport,Bellingham
BMI,0.3694446361529178,445,40.4841,-88.9134,Bloomington Normal Airport,Bloomington
BNA,0.7795629824119762,18383,36.1342,-86.6682,Nashville International Airport,Nashville
BOI,0.13410881328484883,4119,43.5709,-116.222,Boise Air Terminal,Boise
BOS,2.2208507751050677,40884,42.3717,-71.0281,Gen E L Logan International Airport,Boston
BPT,0.3830241664871667,233,29.9551,-94.0185,Jefferson County Airport,Beaumont
BQK,0.3819992962732611,249,31.2525,-81.4703,Glynco Jetport Airport,Brunswick
BRD,0.3880204087799564,155,46.3909,-94.1413,Brainerd-Crow Wing County Regional Airport,Brainerd
BRO,0.3769389995921023,328,25.9064,-97.4321,Brownsville-South Padre Island International Air,Brownsville
BRW,0.3874439192846345,164,71.2892,-156.772,Wiley Post Will Rogers Memorial Airport,Barrow
BTM,0.39109501942167313,107,45.9544,-112.503,Bert Mooney Airport,Butte
BTR,0.2638189497322739,2094,30.533,-91.1567,Baton Rouge Metropolitan Airport,Baton Rouge
BTV,0.3203789746621881,1211,44.4688,-73.1552,Burlington International Airport,South Burlington
BUF,0.09586834342849687,4716,42.9309,-78.738,Greater Buffalo International Airport,Buffalo
BUR,0.1104508415083703,7937,34.1963,-118.352,Burbank Glendale Pasadena Airport,Burbank
BWI,1.7938001678482862,34217,39.1841,-76.6745,Baltimore-Washington International Thurgood Mars,Baltimore
BZN,0.33229309089884046,1025,45.7722,-111.157,Gallatin Field Airport,Bozeman
CAE,0.3192900500599134,1228,33.9468,-81.1241,Columbia Metropolitan Airport,West Columbia
CAK,0.30385294246296063,1469,40.9149,-81.4309,Akron Canton Regional Airport,Canton
CDC,0.3881485175566946,153,37.6992,-113.092,Cedar City Municipal Airport,Cedar City
CDV,0.3896217684891839,130,60.4924,-145.475,Merle K Mudhole Smith Airport,Cordova
