code,count,number,lat,lon,name,city
ABE,0.361242888344886,476,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.3318978603951796,1042,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.18952077227301323,11099,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.37648571205021053,182,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.37238985125864377,261,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.3795446460591022,123,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.3543991715792301,608,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.33091277995163826,1061,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.37850771927642707,143,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.38343312149413394,48,51.88,-176.639,Adak Airport,Adak
ADQ,0.37970018507650344,120,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.3264021484470014,1148,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.34055619903051704,875,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.38441820193767534,29,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.23318243068450656,2946,42.7426,-73.809,Albany International Airport,Latham
ALO,0.3699530733193572,308,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.23136780881482505,2981,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.12010556503378281,5127,61.1767,-149.961,Anchorage International Airport,Anchorage
APN,0.3795446460591022,123,45.07,-83.5683,Alpena County Regional Airport,Alpena
ART,0.38135926792878366,88,43.9942,-76.0232,Watertown International Airport,Dexter
ASE,0.2917687939056518,1816,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,7.125524021587006,144879,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.32557260702086127,1164,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.5544671534355279,18138,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.3244838338990524,1185,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.3600504225448096,499,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZO,0.3606725786144147,487,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.021227555444838418,7853,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.3724416975977775,260,60.7788,-161.847,Bethel Airport,Bethel
BFL,0.3364084918998165,955,35.4288,-119.044,Kern County-Meadows Field Airport,Bakersfield
BGR,0.3756561706240704,198,44.8086,-68.8167,Bangor International Airport,Bangor
BHM,0.09371577841470057,5636,33.5604,-86.7492,Birmingham International Airport,Birmingham
BIL,0.3523771643530136,647,45.8034,-108.537,Logan International Airport,Billings
BIS,0.34138574045665715,859,46.7745,-100.757,Bismarck Municipal Airport,Bismarck
BJI,0.379803877754771,118,47.5065,-94.9338,Bemidji-Beltrami County Airport,Bemidji
BLI,0.37249354393691125,259,48.7955,-122.532,Bellingham International Airport,Bellingham
BMI,0.3325718628039185,1029,40.4841,-88.9134,Bloomington Normal Airport,Bloomington
BNA,0.9152658274673419,25097,36.1342,-86.6682,Nashville International Airport,Nashville
BOI,0.18092132083767962,3954,43.5709,-116.222,Boise Air Terminal,Boise
BOS,1.7475032632424075,41149,42.3717,-71.0281,Gen E L Logan International Airport,Boston
BPT,0.3609318103100835,482,29.9551,-94.0185,Jefferson County Airport,Beaumont
BQK,0.36399074431897516,423,31.2525,-81.4703,Glynco Jetport Airport,Brunswick
BRD,0.36990122698022343,309,46.3909,-94.1413,Brainerd-Crow Wing County Regional Airport,Brainerd
BRO,0.3429929769698036,828,25.9064,-97.4321,Brownsville-South Padre Island International Air,Brownsville
BRW,0.36424997601464393,418,71.2892,-156.772,Wiley Post Will Rogers Memorial Airport,Barrow
BTM,0.380011263111306,114,45.9544,-112.503,Bert Mooney Airport,Butte
BTR,0.2074148001350294,3443,30.533,-91.1567,Baton Rouge Metropolitan Airport,Baton Rouge
BTV,0.3161365732985175,1346,44.4688,-73.1552,Burlington International Airport,South Burlington
BUF,0.05649010691666313,6354,42.9309,-78.738,Greater Buffalo International Airport,Buffalo
BUR,0.012672909487768535,7688,34.1963,-118.352,Burbank Glendale Pasadena Airport,Burbank
BWI,2.0345764430260194,46686,39.1841,-76.6745,Baltimore-Washington International Thurgood Mars,Baltimore
BZN,0.3275946142470778,1125,45.7722,-111.157,Gallatin Field Airport,Bozeman
CAE,0.24567739841574196,2705,33.9468,-81.1241,Columbia Metropolitan Airport,West Columbia
CAK,0.28523615517479844,1942,40.9149,-81.4309,Akron Canton Regional Airport,Canton
CDC,0.37845587293729327,144,37.6992,-113.092,Cedar City Municipal Airport,Cedar City
CDV,0.3756561706240704,198,60.4924,-145.475,Merle K Mudhole Smith Airport,Cordova
CEC,0.364664746727714,410,41.7765,-124.237,Jack Mcnamara Field Airport,Crescent City
CHA,0.31779565615079775,1314,35.0373,-85.1966,Chattanooga Metropolitan Airport,Chattanooga
CHO,0.3467777597265678,755,38.14,-78.4487,Charlottesville Albemarle Airport,Earlysville
CIC,0.3640425906581089,422,39.7987,-121.854,Chico Municipal Airport,Chico
CID,0.2296050332842773,3015,41.8893,-91.7008,Cedar Rapids Municipal Airport,Cedar Rapids
CIU,0.3793891070417009,126,46.2581,-84.4739,Chippewa County International Airport,Kincheloe
CLD,0.3410746624218546,865,33.1255,-117.275,Mcclellan Palomar Airport,Carlsbad
CLE,0.34791133832664045,14154,41.4115,-81.8339,Hopkins International Airport,Cleveland
CLL,0.34413359643074626,806,30.5938,-96.3685,Easterwood Field Airport,College Station
CLT,1.9502224492553968,45059,35.2226,-80.946,Douglas International Airport,Charlotte
CMH,0.20092696688243974,11319,39.9974,-82.8877,Port Columbus International Airport,Columbus
CMI,0.3335569432474598,1010,40.0367,-88.2638,University of Illinois-Willard Airport,Savoy
CMX,0.37119738545856734,284,47.1689,-88.4942,Houghton County Memorial Airport,Hancock
CNY,0.3827072727462614,62,38.7609,-109.742,Canyonlands Field Airport,Thompson
COD,0.37166400251077114,275,44.5134,-109.031,Yellowstone Regional Airport,Cody/Yellowstone
COS,0.21819883867485082,3235,38.7829,-104.697,City of Colorado Springs Municipal Airport,Colorado Springs
COU,0.3569396421967842,559,38.8174,-92.2218,Columbia Regional Airport,Columbia
CPR,0.34879976695278436,716,42.8966,-106.465,Natrona County International Airport,Casper
CRP,0.2444330862765318,2729,27.7747,-97.5019,Corpus Christi International Airport,Corpus Christi
CRW,0.3224099803337021,1225,38.3697,-81.5951,Yeager Airport,Charleston
CSG,0.3633167419102363,436,32.5184,-84.9401,Columbus Metropolitan Airport,Columbus
CVG,0.013139526539972347,7697,39.0571,-84.6625,Greater Cincinnati International Airport,Hebron
CWA,0.3553324056836377,590,44.7846,-89.6704,Central Wisconsin Airport,Mosinee
DAB,0.36310935655370125,440,29.1874,-81.0615,Daytona Beach International Airport,Daytona Beach
DAL,1.0672274474683834,28028,32.8439,-96.8496,Dallas Love Field Airport,Dallas
DAY,0.20502986853487656,3489,39.8968,-84.2207,James M Cox Dayton International Airport,Dayton
DBQ,0.3709900001020323,288,42.4047,-90.7037,Dubuque Regional Airport,Dubuque
DCA,0.9332046608076218,25443,38.849,-77.0438,Washington National Airport,Arlington
DEN,5.540840665963729,114314,39.8396,-104.672,Denver International Airport,Denver
DFW,6.429331379698921,131451,32.9222,-97.0409,Fort Worth International Airport,Dallas
DHN,0.3648202857451152,407,31.3144,-85.4487,Dothan Airport,Dothan
DIK,0.3573025665707205,552,46.8035,-102.802,Dickinson Municipal Airport,Dickinson
DLG,0.3832257361375989,52,59.0445,-158.513,Dillingham Municipal Airport,Dillingham
DLH,0.346311142674364,764,46.838,-92.1781,Duluth International Airport,Duluth
DRO,0.348022071865778,731,37.1595,-107.751,Durango la Plata County Airport,Durango
DSM,0.15157629288797322,4520,41.5328,-93.6481,Des Moines International Airport,Des Moines
DTW,1.5798322024838374,37915,42.2327,-83.3412,Detroit Metropolitan Wayne County Airport,Detroit
DVL,0.37912987534603215,131,48.108,-98.9037,Devils Lake Municipal Airport,Devils Lake
EAU,0.37088630742376477,290,44.8625,-91.4826,Eau Claire County Airport,Eau Claire
EGE,0.36119104200575225,477,39.6395,-106.912,Eagle County Regional Airport,Gypsum
EKO,0.378092948563357,151,40.829,-115.78,Elko Municipal Airport-J C Harris Field,Elko
ELM,0.3543991715792301,608,42.1633,-76.8973,Elmira Corning Regional Airport,Horseheads
ELP,0.03030770565411591,6859,31.7982,-106.393,El Paso International Airport,El Paso
ERI,0.37601909499800673,191,42.0829,-80.1824,Erie International Airport,Erie
ESC,0.38509220434641417,16,45.718,-87.0942,Delta County Airport,Escanaba
EUG,0.3048340713673585,1564,44.1184,-123.213,Mahlon Sweet Field Airport,Eugene
EVV,0.3222025949771671,1229,38.0464,-87.5308,Evansville Regional Airport,Evansville
EWN,0.37503401455446533,210,35.0786,-77.0343,Craven County Regional Airport,New Bern
EWR,2.075535050941687,47476,40.6924,-74.1843,Newark International Airport,Newark
EYW,0.3356826431519439,969,24.5536,-81.7551,Key West International Airport,Key West
FAI,0.34568898660475894,776,64.8183,-147.866,Fairbanks International Airport,Fairbanks
