code,count,number,lat,lon,name,city
ABE,0.3167639128809402,1433,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.35808637152100004,695,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.07059214250108421,8351,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.3866425421259194,185,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.37751576603062165,348,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.377627751013386,346,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.371300599487198,459,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.37107662952166925,463,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.3531590322793669,783,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.3946494683935733,42,51.88,-176.639,Adak Airport,Adak
ADQ,0.38854628683291403,151,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.34582401590829936,914,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.3096528664754014,1560,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.3954893557643062,27,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.18047818885667777,3867,42.7426,-73.809,Albany International Airport,Latham
ALO,0.3846828049275426,220,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.3109406937771919,1537,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.18506957315001776,3785,61.1767,-149.961,Anchorage International Airport,Anchorage
APN,0.3864745646517728,188,45.07,-83.5683,Alpena County Regional Airport,Alpena
ART,0.39621725815227476,14,43.9942,-76.0232,Watertown International Airport,Dexter
ASE,0.2826084931378013,2043,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,7.112319843708681,134113,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.33154593060583964,1169,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.8865707194138107,22924,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.2581397744037821,2480,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.3400007968045511,1018,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZA,0.2899435095088688,1912,33.3078,-111.656,Phoenix-Mesa Gateway Airport,Phoenix
AZO,0.35887026640035075,681,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.0850941977690727,8610,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.3856906697724221,202,60.7788,-161.847,Bethel Airport,Bethel
