code,count,number,lat,lon,name,city
ABE,0.33952105749684436,830,40.6514,-75.4342,Lehigh Valley International Airport,Allentown
ABI,0.3488324964565971,671,32.4164,-99.6803,Abilene Regional Airport,Abilene
ABQ,0.06631713112633894,7760,35.0494,-106.625,Albuquerque International Airport,Albuquerque
ABR,0.3726088751840159,265,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen
ABY,0.37044206234432503,302,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany
ACK,0.37623975075322763,203,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket
ACT,0.36200906102228486,446,31.609,-97.2234,Waco Regional Airport,Waco
ACV,0.3597251231642323,485,40.9698,-124.108,Arcata Airport,Mckinleyville
ACY,0.3071945524290237,1382,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City
ADK,0.3846727520752678,59,51.88,-176.639,Adak Airport,Adak
ADQ,0.37910931370308854,154,57.7545,-152.512,Kodiak Airport,Kodiak
AEX,0.321249554632424,1142,31.323,-92.5417,Alexandria International Airport,Alexandria
AGS,0.33097093115644255,976,33.3735,-81.9732,Bush Field Airport,Augusta
AKN,0.38631250233233116,31,58.6775,-156.655,King Salmon Airport,King Salmon
ALB,0.25396123158364514,2291,42.7426,-73.809,Albany International Airport,Latham
ALO,0.3786993761388227,161,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo
AMA,0.3001084888181427,1503,35.2177,-101.706,Amarillo International Airport,Amarillo
ANC,0.08395426743168248,5194,61.1767,-149.961,Anchorage International Airport,Anchorage
APN,0.37969493879489685,144,45.07,-83.5683,Alpena County Regional Airport,Alpena
ASE,0.30250955169455696,1462,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen
ATL,7.311905017015911,131484,33.6558,-84.4333,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,0.32710580555050744,1042,44.2603,-88.5111,Outagamie County Airport,Appleton
AUS,0.589397463129553,16692,30.2027,-97.6653,Austin-Bergstrom International Airport,Austin
AVL,0.330443868573815,985,35.4349,-82.5373,Asheville Regional Airport,Fletcher
AVP,0.36083781083866817,466,41.3354,-75.7294,Wilkes Barre Scranton International Airport,Pittston
AZO,0.3609549358570298,464,42.2398,-85.5563,Kalamazoo-Battle Creek International Airport,Kalamazoo
BDL,0.01918413227767948,6300,41.9271,-72.6816,Bradley International Airport,Windsor Locks
BET,0.36897799961480415,327,60.7788,-161.847,Bethel Airport,Bethel
BFL,0.34350330812114116,762,35.4288,-119.044,Kern County-Meadows Field Airport,Bakersfield
BGM,0.38315012683656613,85,42.2082,-75.9825,Greater Binghamton Edwin A Link Field Airport,Johnson City
BGR,0.3812175640335986,118,44.8086,-68.8167,Bangor International Airport,Bangor
BHM,0.12488946134908581,4495,33.5604,-86.7492,Birmingham International Airport,Birmingham
BIL,0.3528733095900747,602,45.8034,-108.537,Logan International Airport,Billings
BIS,0.3197269293937223,1168,46.7745,-100.757,Bismarck Municipal Airport,Bismarck
